"Journal Data Filtered By:  Selected JCR Year: 2001 Selected Editions: SCIE,SSCI Selected Categories: 'ECOLOGY','EVOLUTIONARY%20BIOLOGY' Selected Category Scheme: WoS",,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score
1,TRENDS IN ECOLOGY & EVOLUTION,7011,10.508,Not Available
2,SYSTEMATIC BIOLOGY,2680,7.651,Not Available
3,ANNUAL REVIEW OF ECOLOGY AND SYSTEMATICS,5876,6.238,Not Available
4,ECOLOGICAL MONOGRAPHS,4955,5.551,Not Available
5,CLADISTICS-THE INTERNATIONAL JOURNAL OF THE WILLI HENNIG SOCIETY,2225,5.529,Not Available
6,MOLECULAR BIOLOGY AND EVOLUTION,9338,5.357,Not Available
7,WILDLIFE MONOGRAPHS,657,5.25,Not Available
8,AMERICAN NATURALIST,14504,4.317,Not Available
9,JOURNAL OF MOLECULAR EVOLUTION,7460,4.011,Not Available
10,EVOLUTION,15574,3.74,Not Available
11,ECOLOGY,25310,3.704,Not Available
12,GLOBAL CHANGE BIOLOGY,1781,3.537,Not Available
13,ECOLOGICAL APPLICATIONS,4090,3.335,Not Available
14,JOURNAL OF ANIMAL ECOLOGY,6478,3.312,Not Available
15,ENVIRONMENTAL MICROBIOLOGY,430,3.276,Not Available
16,EVOLUTION & DEVELOPMENT,238,3.18,Not Available
17,JOURNAL OF HUMAN EVOLUTION,1839,3.031,Not Available
18,MOLECULAR PHYLOGENETICS AND EVOLUTION,2701,2.979,Not Available
19,JOURNAL OF APPLIED ECOLOGY,4336,2.937,Not Available
20,MICROBIAL ECOLOGY,1995,2.891,Not Available
21,CONSERVATION BIOLOGY,5907,2.783,Not Available
22,ADVANCES IN ECOLOGICAL RESEARCH,1127,2.702,Not Available
23,JOURNAL OF EVOLUTIONARY BIOLOGY,1529,2.673,Not Available
24,BULLETIN OF THE AMERICAN MUSEUM OF NATURAL HISTORY,1042,2.65,Not Available
25,OIKOS,9714,2.499,Not Available
26,MOLECULAR ECOLOGY,4744,2.478,Not Available
27,OECOLOGIA,15242,2.474,Not Available
28,BEHAVIORAL ECOLOGY,2337,2.424,Not Available
29,ECOSYSTEMS,487,2.4,Not Available
30,AQUATIC MICROBIAL ECOLOGY,1221,2.376,Not Available
