Publication Years	records	% of 991
1971	1	0.101
1975	1	0.101
1976	1	0.101
1981	1	0.101
1983	1	0.101
1987	1	0.101
1991	1	0.101
1995	2	0.202
1997	1	0.101
1998	2	0.202
1999	3	0.303
2000	3	0.303
2003	1	0.101
2005	1	0.101
2006	5	0.505
2007	10	1.009
2008	7	0.706
2009	20	2.018
2010	19	1.917
2011	77	7.770
2012	74	7.467
2013	112	11.302
2014	109	10.999
2015	156	15.742
2016	196	19.778
2017	196	19.778
2018	20	2.018
(0 Publication Years {0} {1} value(s) outside display options.)
(0 records (0.000%){0} records{1} do not contain data in the field being analyzed.)
