Publication Years	records	% of 1004
1971	1	0.001
1975	1	0.001
1976	1	0.001
1981	1	0.001
1983	1	0.001
1987	1	0.001
1991	1	0.001
1995	2	0.002
1997	1	0.001
1998	2	0.002
1999	3	0.002
2000	3	0.002
2001	1	0.001
2003	2	0.002
2005	1	0.001
2006	5	0.004
2007	10	0.008
2008	7	0.005
2009	20	0.015
2010	19	0.015
2011	77	0.059
2012	74	0.057
2013	112	0.086
2014	109	0.084
2015	160	0.123
2016	197	0.151
2017	203	0.156
2018	20	0.015
(0 Publication Years {0} {1} value(s) outside display options.)
(0(0.000%){0} records{1} do not contain data in the field being analyzed.)
