Publication Years	records	% of 13002
1000	1	0.008
1930	1	0.008
1935	1	0.008
1949	1	0.008
1950	1	0.008
1953	1	0.008
1955	1	0.008
1962	1	0.008
1963	1	0.008
1964	1	0.008
1965	2	0.015
1966	1	0.008
1967	2	0.015
1968	1	0.008
1969	1	0.008
1970	1	0.008
1971	2	0.015
1972	2	0.015
1973	3	0.023
1974	20	0.154
1975	6	0.046
1976	18	0.138
1977	17	0.131
1978	59	0.454
1979	51	0.392
1980	40	0.308
1981	42	0.323
1982	37	0.285
1983	41	0.315
1984	48	0.369
1985	43	0.331
1986	62	0.477
1987	65	0.500
1988	78	0.600
1989	70	0.538
1990	74	0.569
1991	110	0.846
1992	119	0.915
1993	111	0.854
1994	148	1.138
1995	147	1.131
1996	173	1.331
1997	189	1.454
1998	197	1.515
1999	203	1.561
2000	175	1.346
2001	191	1.469
2002	234	1.800
2003	263	2.023
2004	261	2.007
2005	296	2.277
2006	335	2.577
2007	440	3.384
2008	449	3.453
2009	461	3.546
2010	565	4.345
2011	713	5.484
2012	718	5.522
2013	1054	8.106
2014	1243	9.560
2015	1066	8.199
2016	1377	10.591
2017	1152	8.860
2018	50	0.385
(14 Publication Years {0} {1} value(s) outside display options.)
(0 records (0.000%){0} records{1} do not contain data in the field being analyzed.)
