Publication Years	records	% of 5698
1962	1	0.018
1965	3	0.053
1967	1	0.018
1971	2	0.035
1972	2	0.035
1973	4	0.070
1974	1	0.018
1975	1	0.018
1977	24	0.421
1978	5	0.088
1979	9	0.158
1980	7	0.123
1981	2	0.035
1982	11	0.193
1983	12	0.211
1984	21	0.369
1985	11	0.193
1986	12	0.211
1987	15	0.263
1988	19	0.333
1989	51	0.895
1990	20	0.351
1991	27	0.474
1992	42	0.737
1993	27	0.474
1994	73	1.281
1995	46	0.807
1996	44	0.772
1997	67	1.176
1998	96	1.685
1999	65	1.141
2000	86	1.509
2001	98	1.720
2002	101	1.773
2003	124	2.176
2004	116	2.036
2005	153	2.685
2006	174	3.054
2007	294	5.160
2008	186	3.264
2009	197	3.457
2010	254	4.458
2011	225	3.949
2012	225	3.949
2013	738	12.952
2014	1137	19.954
2015	326	5.721
2016	329	5.774
2017	254	4.458
2018	23	0.404
(0 Publication Years {0} {1} value(s) outside display options.)
(0 records (0.000%){0} records{1} do not contain data in the field being analyzed.)
