Publication Years	records	% of 130324
1000	5	0.004
1800	1	0.001
1810	1	0.001
1868	1	0.001
1877	2	0.002
1885	1	0.001
1928	2	0.002
1930	1	0.001
1931	1	0.001
1932	1	0.001
1934	1	0.001
1935	2	0.002
1937	1	0.001
1938	1	0.001
1940	2	0.002
1941	2	0.002
1942	1	0.001
1943	2	0.002
1944	1	0.001
1945	3	0.002
1946	3	0.002
1947	6	0.005
1948	3	0.002
1949	4	0.003
1950	3	0.002
1951	4	0.003
1952	3	0.002
1953	4	0.003
1954	7	0.005
1955	4	0.003
1956	2	0.002
1957	4	0.003
1958	7	0.005
1959	5	0.004
1960	4	0.003
1961	9	0.007
1962	8	0.006
1963	12	0.009
1964	10	0.008
1965	24	0.018
1966	28	0.021
1967	34	0.026
1968	30	0.023
1969	97	0.074
1970	87	0.067
1971	124	0.095
1972	177	0.136
1973	188	0.144
1974	348	0.267
1975	300	0.230
1976	402	0.308
1977	405	0.311
1978	703	0.539
1979	664	0.509
1980	931	0.714
1981	623	0.478
1982	628	0.482
1983	687	0.527
1984	661	0.507
1985	693	0.532
1986	939	0.721
1987	1115	0.856
1988	1143	0.877
1989	1086	0.833
1990	1605	1.232
1991	1378	1.057
1992	1270	0.974
1993	1239	0.951
1994	1434	1.100
1995	1543	1.184
1996	1657	1.271
1997	1650	1.266
1998	1707	1.310
1999	1778	1.364
2000	1656	1.271
2001	1683	1.291
2002	1893	1.453
2003	2133	1.637
2004	2527	1.939
2005	2988	2.293
2006	3337	2.561
2007	3855	2.958
2008	3790	2.908
2009	4306	3.304
2010	4576	3.511
2011	6213	4.767
2012	6926	5.314
2013	9560	7.336
2014	10223	7.844
2015	10303	7.906
2016	17114	13.132
2017	11141	8.549
2018	241	0.185
(43 Publication Years {0} {1} value(s) outside display options.)
(0 records (0.000%){0} records{1} do not contain data in the field being analyzed.)
